"StationID","Duration","SensorNumber","SensorType","Date","ObsDate","Value","DataFlag","SensorUnits"
"CAL","M",2,"RAIN",2011-09-01,2011-09-01,0.09,"","INCHES"
"CAL","M",2,"RAIN",2011-10-01,2011-10-01,0.99,"","INCHES"
"CAL","M",2,"RAIN",2011-11-01,2011-11-01,0.91,"","INCHES"
"CAL","M",2,"RAIN",2011-12-01,2011-12-01,0.63,"","INCHES"
"CAL","M",2,"RAIN",2012-01-01,2012-01-01,3.85,"","INCHES"
"CAL","M",2,"RAIN",2012-02-01,2012-02-01,1,"","INCHES"
"CAL","M",2,"RAIN",2012-03-01,2012-03-01,4.95,"","INCHES"
"CAL","M",2,"RAIN",2012-04-01,2012-04-01,1.96,"","INCHES"
"CAL","M",2,"RAIN",2012-05-01,2012-05-01,0.44,"","INCHES"
"CAL","M",2,"RAIN",2012-06-01,2012-06-01,0.76,"","INCHES"
"CAL","M",2,"RAIN",2012-07-01,2012-07-01,0.12,"","INCHES"
"CAL","M",2,"RAIN",2012-08-01,2012-08-01,0,"","INCHES"
"CAL","M",2,"RAIN",2012-09-01,2012-09-01,0,"","INCHES"
"CAL","M",2,"RAIN",2012-10-01,2012-10-01,0.84,"","INCHES"
"CAL","M",2,"RAIN",2012-11-01,2012-11-01,4.47,"","INCHES"
"CAL","M",2,"RAIN",2012-12-01,2012-12-01,4.37,"","INCHES"
"CAL","M",2,"RAIN",2013-01-01,2013-01-01,0.69,"","INCHES"
"CAL","M",2,"RAIN",2013-02-01,2013-02-01,0.34,"","INCHES"
"CAL","M",2,"RAIN",2013-03-01,2013-03-01,1.62,"","INCHES"
"CAL","M",2,"RAIN",2013-04-01,2013-04-01,0.44,"","INCHES"
"CAL","M",2,"RAIN",2013-05-01,2013-05-01,2.16,"","INCHES"
"CAL","M",2,"RAIN",2013-06-01,2013-06-01,0.17,"","INCHES"
"CAL","M",2,"RAIN",2013-07-01,2013-07-01,1.53,"","INCHES"
"CAL","M",2,"RAIN",2013-08-01,2013-08-01,0.35,"","INCHES"
"CAL","M",2,"RAIN",2013-09-01,2013-09-01,1.48,"","INCHES"
"CAL","M",2,"RAIN",2013-10-01,2013-10-01,0.25,"","INCHES"
